service_id,date,exception_type
25-1-127,20220823,2
25-1-127,20220824,2
25-1-127,20220825,2
25-1-127,20220826,2
25-1-127,20220827,2
25-1-127,20220828,2
26-1-127,20220321,2
26-1-127,20220322,2
26-1-127,20220323,2
26-1-127,20220324,2
26-1-127,20220326,2
26-1-127,20220327,2
26-1-127,20220328,2
26-1-127,20220329,2
26-1-127,20220330,2
26-1-127,20220331,2
26-1-127,20220402,2
26-1-127,20220403,2
26-1-127,20220404,2
26-1-127,20220405,2
26-1-127,20220406,2
26-1-127,20220407,2
26-1-127,20220409,2
26-1-127,20220410,2
26-1-127,20220411,2
26-1-127,20220412,2
26-1-127,20220413,2
26-1-127,20220414,2
26-1-127,20220416,2
26-1-127,20220417,2
26-1-127,20220418,2
26-1-127,20220419,2
26-1-127,20220420,2
26-1-127,20220421,2
26-1-127,20220423,2
26-1-127,20220424,2
26-1-127,20220425,2
26-1-127,20220426,2
26-1-127,20220427,2
26-1-127,20220428,2
26-1-127,20220429,2
26-1-127,20220430,2
26-1-127,20220501,2
26-1-127,20220502,2
26-1-127,20220503,2
26-1-127,20220504,2
26-1-127,20220505,2
26-1-127,20220506,2
26-1-127,20220507,2
26-1-127,20220508,2
26-1-127,20220509,2
26-1-127,20220510,2
26-1-127,20220511,2
26-1-127,20220512,2
26-1-127,20220514,2
26-1-127,20220515,2
26-1-127,20220516,2
26-1-127,20220517,2
26-1-127,20220518,2
26-1-127,20220519,2
26-1-127,20220521,2
26-1-127,20220522,2
26-1-127,20220523,2
26-1-127,20220524,2
26-1-127,20220525,2
26-1-127,20220526,2
26-1-127,20220527,2
26-1-127,20220528,2
26-1-127,20220529,2
26-1-127,20220530,2
26-1-127,20220531,2
26-1-127,20220601,2
26-1-127,20220602,2
26-1-127,20220604,2
26-1-127,20220605,2
26-1-127,20220606,2
26-1-127,20220607,2
26-1-127,20220608,2
26-1-127,20220609,2
26-1-127,20220611,2
26-1-127,20220612,2
26-1-127,20220613,2
26-1-127,20220614,2
26-1-127,20220615,2
26-1-127,20220616,2
26-1-127,20220618,2
26-1-127,20220619,2
26-1-127,20220620,2
26-1-127,20220621,2
26-1-127,20220622,2
26-1-127,20220623,2
26-1-127,20220625,2
26-1-127,20220626,2
26-1-127,20220627,2
26-1-127,20220628,2
26-1-127,20220629,2
26-1-127,20220630,2
26-1-127,20220701,2
26-1-127,20220702,2
26-1-127,20220703,2
26-1-127,20220704,2
26-1-127,20220705,2
26-1-127,20220706,2
26-1-127,20220707,2
26-1-127,20220708,2
26-1-127,20220709,2
26-1-127,20220710,2
26-1-127,20220711,2
26-1-127,20220712,2
26-1-127,20220713,2
26-1-127,20220714,2
26-1-127,20220715,2
26-1-127,20220716,2
26-1-127,20220717,2
26-1-127,20220718,2
26-1-127,20220719,2
26-1-127,20220720,2
26-1-127,20220721,2
26-1-127,20220722,2
26-1-127,20220723,2
26-1-127,20220724,2
26-1-127,20220725,2
26-1-127,20220726,2
26-1-127,20220727,2
26-1-127,20220728,2
26-1-127,20220729,2
26-1-127,20220730,2
26-1-127,20220731,2
26-1-127,20220801,2
